timestamp,season,hour,time_step_hours,cloud_cover,cos_zenith,irradiance_wm2,ambient_temp_c,wind_speed_ms,pv_generation_kw,building_load_kw,grid_power_kw,grid_energy_kwh,tou_rate_thb,cost_thb
2026-04-15 00:00:00,summer,0.0,0.25,0.2,0.0,0.0,27.3,2.03,0.0,0.16,0.16,0.04,2.6,0.104
2026-04-15 00:15:00,summer,0.25,0.25,0.2,0.0,0.0,27.1,1.94,0.0,0.171,0.171,0.043,2.6,0.111
2026-04-15 00:30:00,summer,0.5,0.25,0.2,0.0,0.0,26.7,2.29,0.0,0.184,0.184,0.046,2.6,0.12
2026-04-15 00:45:00,summer,0.75,0.25,0.2,0.0,0.0,26.4,2.24,0.0,0.186,0.186,0.046,2.6,0.121
2026-04-15 01:00:00,summer,1.0,0.25,0.2,0.0,0.0,26.6,1.99,0.0,0.177,0.177,0.044,2.6,0.115
2026-04-15 01:15:00,summer,1.25,0.25,0.2,0.0,0.0,26.5,2.25,0.0,0.17,0.17,0.043,2.6,0.111
2026-04-15 01:30:00,summer,1.5,0.25,0.2,0.0,0.0,26.1,2.84,0.0,0.165,0.165,0.041,2.6,0.107
2026-04-15 01:45:00,summer,1.75,0.25,0.2,0.0,0.0,26.3,1.43,0.0,0.181,0.181,0.045,2.6,0.118
2026-04-15 02:00:00,summer,2.0,0.25,0.2,0.0,0.0,26.2,2.43,0.0,0.174,0.174,0.043,2.6,0.113
2026-04-15 02:15:00,summer,2.25,0.25,0.2,0.0,0.0,26.2,1.76,0.0,0.169,0.169,0.042,2.6,0.11
2026-04-15 02:30:00,summer,2.5,0.25,0.2,0.0,0.0,25.9,1.58,0.0,0.172,0.172,0.043,2.6,0.112
2026-04-15 02:45:00,summer,2.75,0.25,0.2,0.0,0.0,26.1,1.58,0.0,0.174,0.174,0.043,2.6,0.113
2026-04-15 03:00:00,summer,3.0,0.25,0.2,0.0,0.0,25.9,0.71,0.0,0.194,0.194,0.049,2.6,0.126
2026-04-15 03:15:00,summer,3.25,0.25,0.2,0.0,0.0,25.9,2.0,0.0,0.2,0.2,0.05,2.6,0.13
